mcq_no,question_short,computed_value,selected_option,selected_label,notes
1,Median inter-order gap,144.0,C,180,Nearest option distance=36.0 days
2,Top segment by gross margin ratio,Standard,D,Standard,Match mode=exact
3,Most common Streetwear return reason,wrong_size,B,wrong_size,Match mode=exact
4,Lowest avg bounce rate source,email_campaign (0.004458),C,email_campaign,Match mode=exact
5,Pct order_items with promo_id,38.66349,C,39%,Nearest option distance=0.33651 percentage points
6,Age group with highest avg orders/customer,55+,A,55+,Match mode=exact
7,Region with highest reconstructed revenue,East,C,East,Selected top reconstructed region from orders + order_items + geography using net line revenue = quantity * unit_price.
8,Most used payment method for cancelled orders,credit_card,A,credit_card,Match mode=exact
9,Highest return rate by stated formula,S (0.05650000),A,S,Exact formula from brief preserved
10,Installment plan with highest avg payment,6 (24446.654401),C,6,Installments match distance=0.0
