feature,imp_mean,imp_std
seasonal_doy_mean,0.7562069263908666,0.03350622599374974
seasonal_month_dow_mean,0.054545885327275265,0.006917293594605025
rev_lag_365_730_mean,0.03656334708961717,0.007791986219922838
rev_lag_548,0.014464354022788006,0.004092182064035724
rev_roll7_end_730d_ago,0.010431760741493056,0.0049183625900770245
rev_roll30_end_365d_ago,0.00951564593786638,0.0006578350372217032
rev_roll30_end_730d_ago,0.008959183908852308,0.0017453748167804103
rev_roll7_end_548d_ago,0.007073008559082039,0.0022314888139812064
days_to_tet,0.006933306824676166,0.0022748709110646218
dow,0.0067014178509078315,0.001114459935814727
doy,0.004407328874319427,0.0016346736789906323
rev_roll7_end_365d_ago,0.0035197532798987518,0.002882749689508731
dow_sin,0.0028986045428492702,0.002578379565527952
dow_cos,0.0027363806544892233,0.0014403747146140265
week,0.002215896186057509,0.0010351004077735633
abs_days_to_tet,0.0018473566707747358,0.001644130577772739
rev_lag_730,0.001712976164847002,0.0029190903833508927
rev_roll90_end_730d_ago,0.0014849731939500233,0.0012169713496217505
month_cos,0.001462613382011102,0.00040706326569194483
day,0.001091670585552107,0.0033717716795946275
is_vn_holiday,0.00076112564842985,0.000534162637716526
month_sin,0.00024822175893706165,0.00038314966517751306
is_month_start,0.00018642376516748717,8.30452647104121e-05
log_seasonal_doy_mean,0.0,0.0
is_new_year,0.0,0.0
is_reunification,0.0,0.0
year,0.0,0.0
log_rev_lag_730,0.0,0.0
log_rev_lag_365,0.0,0.0
log_rev_lag_548,0.0,0.0
is_weekend,0.0,0.0
quarter,0.0,0.0
is_national,0.0,0.0
regime_recent,0.0,0.0
log_seasonal_month_mean,0.0,0.0
log_seasonal_month_dow_mean,0.0,0.0
log_rev_lag_365_730_mean,0.0,0.0
log_seasonal_week_mean,0.0,0.0
is_labor,0.0,0.0
is_tet_week,0.0,0.0
is_month_end,-9.049181912250681e-05,2.2437518253093905e-05
doy_sin,-9.068001715941686e-05,0.001328664669978458
seasonal_month_mean,-0.00021454513264362873,0.00020304044915976112
month,-0.0002955698954237418,0.0006359828561546234
rev_roll30_end_548d_ago,-0.00035255728496759177,0.0005807576624519353
seasonal_week_mean,-0.0010336876936525962,0.0019102846019871335
rev_lag_365,-0.0018230692341786093,0.003412867359862631
doy_cos,-0.0022896442823775896,0.0024932940233947745
rev_roll90_end_548d_ago,-0.004847796727407072,0.0038836479481003825
rev_roll90_end_365d_ago,-0.02451490303352317,0.008467809460865805
